"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName"
"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1992 Energize";"whdload";"0";"1000cc Turbo";"1000ccTurbo";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"4096";"0-9\1000ccTurbo";"524288";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"1000 Miglia";"1000Miglia";"915637";"0-9\1000Miglia\1000Miglia.Slave";"0";"0-9\1000Miglia";"524288";"1000Miglia";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 AGA";"1869AGA";"2766586";"0-9\1869AGA\1869AGA.Slave";"1572864";"0-9\1869AGA";"1048576";"1869";"AGA";"";"";"";"";"";"A-Games"
"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1987 Probe ";"whdload";"0";"1943: The Battle Of Midway";"1943";"525205";"0-9\1943\1943.slave";"4096";"0-9\1943";"524288";"1943";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"1st Division Manager ? 1992 Codemasters";"1992 Codemasters";"whdload";"0";"1st Division Manager";"1stDivisionManager";"661437";"0-9\1stDivisionManager\1stDivisionManager.Slave";"360448";"0-9\1stDivisionManager";"524288";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"1989 Infogrames.";"whdload";"0";"20000 leagues under the sea";"20000LeaguesUnderTheSea";"793281";"0-9\20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"262144";"0-9\20000LeaguesUnderTheSea";"524288";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"game called:";"19?? ???????";"whdload";"0";"3001 O";"3001OConnorsFight";"245622";"0-9\3001OConnorsFight\3001OConnorsFight.Slave";"1310720";"0-9\3001OConnorsFight";"1048576";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"3D Construction Kit ? 1991 Domark";"1991 Domark";"whdload";"0";"3D Construction Kit";"3DConstructionKit";"542846";"0-9\3DConstructionKit\3DConstructionKit.Slave";"1310720";"0-9\3DConstructionKit";"524288";"3DConstructionKit";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"3D Galax (c) 1989 Gremlin - 1 disk.";"1989 Gremlin";"whdload";"0";"3D Galax";"3DGalax";"460385";"0-9\3DGalax\3DGalax.Slave";"4096";"0-9\3DGalax";"524288";"3DGalax";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"3D Pool (c) 1989 Aardvark Software/Firebird.";"1989 Aardvark Software/Firebird";"whdload";"0";"3D Pool (Pictures)";"3DPool";"481908";"0-9\3DPool\3DPictures.Slave";"4096";"0-9\3DPool";"528384";"3DPool";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError";"3D Pool (c) 1989 Aardvark Software/Firebird.";"1989 Aardvark Software/Firebird";"whdload";"0";"3D Pool";"3DPool";"481908";"0-9\3DPool\3DPool.Slave";"0";"0-9\3DPool";"524288";"3DPool";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"3D World Soccer ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"3D World Soccer";"3DWorldSoccer";"1565979";"0-9\3DWorldSoccer\3DWorldSoccer.Slave";"786432";"0-9\3DWorldSoccer";"524288";"3DWorldSoccer";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"3D World Tennis ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"3D World Tennis";"3DWorldTennis";"730208";"0-9\3DWorldTennis\3DWorldTennis.Slave";"786432";"0-9\3DWorldTennis";"524288";"3DWorldTennis";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"4D Sports Boxing ? 1991 Mindscape";"1991 Distinctive/Mindscape";"whdload";"0";"4D Sports Boxing";"4DSportsBoxing";"1126562";"0-9\4DSportsBoxing\4DSportsBoxing.Slave";"786432";"0-9\4DSportsBoxing";"524288";"4DSportsBoxing";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"4D Sports Driving ? 1992 Mindscape";"1992 Distinctive/Mindscape";"whdload";"0";"4D Sports Driving";"4DSportsDriving";"1258913";"0-9\4DSportsDriving\4DSportsDriving.Slave";"786432";"0-9\4DSportsDriving";"524288";"4DSportsDriving";"OCS/ECS";"";"";"";"";"";"A-Games"
